Reference ID | Name | Description | Alias Names | Business Logic | Critical Data Element | Examples | Format Type | Format Description | Lifecycle | Security Level | Classifications | Operation
PAY001 | Payment Gateway | System facilitating online payment processing. | PGW, Payment Processor | Verifies payment details and routes funds. | TRUE | Stripe, PayPal | Text | Alphanumeric | Draft | High | Infrastructure | create
PAY002 | Merchant Account | Bank account allowing businesses to accept payments. | Business Account, Payment Account | Holds funds received from customer payments. | TRUE | 1234567890 | Number | Numeric | Draft | High | Financial | create
PAY003 | Payment Card | Plastic card enabling purchases. | Credit Card, Debit Card | Contains account information for payment authorization. | TRUE | 4111111111111111 | Number | Numeric | Draft | High | Financial | create
PAY004 | Transaction ID | Unique identifier for each payment transaction. | TXN ID, Reference Number | Tracks payment through the processing cycle. | TRUE | ABC123XYZ | Text | Alphanumeric | Draft | Medium | Audit | create
PAY005 | Authorization Code | Code returned by the issuer confirming payment approval. | Auth Code, Approval Code | Indicates the transaction is authorized. | TRUE | 123456 | Number | Numeric | Draft | High | Security | create
PAY006 | Settlement Date | Date funds are transferred to the merchant account. | Deposit Date, Funding Date | Date of actual money transfer. | TRUE | 2024-01-01 | Date | YYYY-MM-DD | Draft | Low | Reporting | create
PAY007 | Chargeback | Disputed transaction reversed by the issuer. | Dispute, Retrieval Request | Customer disputes the transaction with their bank. | TRUE | [Chargeback Reason] | Text | Text | Draft | Medium | Legal | create
PAY008 | Refund | Return of funds to the customer. | Credit, Reimbursement | Merchant returns money to the customer. | TRUE | [Refund Reason] | Text | Text | Draft | Low | Financial | create
PAY009 | AVS | Address Verification System | Address Check | Verifies the billing address provided by the customer. | FALSE | [AVS Response Code] | Text | Alphanumeric | Draft | Medium | Security | create
PAY010 | CVV | Card Verification Value | CVC, CID | 3 or 4-digit security code on the card. | TRUE | 123 | Number | Numeric | Draft | High | Security | create
PAY011 | PCI DSS | Payment Card Industry Data Security Standard | PCI | Security standards for handling cardholder data. | FALSE | [PCI Compliance Status] | Text | Text | Draft | High | Security | create
PAY012 | Tokenization | Replacing sensitive data with a non-sensitive equivalent. | Data Masking, Encryption | Protects cardholder data during transmission and storage. | FALSE | [Token Value] | Text | Alphanumeric | Draft | High | Security | create
PAY013 | 3D Secure | Authentication protocol for online transactions. | Verified by Visa, Mastercard SecureCode | Adds an extra layer of security for online payments. | FALSE | [3DS Authentication Result] | Text | Text | Draft | Medium | Security | create
PAY014 | EMV Chip | Microchip embedded in payment cards. | Chip Card | Enhanced security compared to magnetic stripe. | FALSE | [EMV Data] | Text | Hexadecimal | Draft | High | Security | create
PAY015 | Contactless Payment | Payment made by tapping a card or device. | Tap to Pay, NFC Payment | Convenient payment method using near-field communication. | FALSE | [Contactless Transaction Details] | Text | Text | Draft | Medium | Convenience | create
PAY016 | Recurring Payment | Automated payment scheduled at regular intervals. | Subscription Payment, Auto-Billing | Customers authorize recurring charges for goods or services. | TRUE | [Subscription ID] | Text | Alphanumeric | Draft | Medium | Billing | create
PAY017 | Payment Schedule | Defines the dates and amounts for recurring payments. | Billing Cycle, Payment Plan | Outlines the payment arrangement. | TRUE | [Payment Schedule Details] | Text | Text | Draft | Low | Billing | create
PAY018 | Invoice | Request for payment for goods or services. | Bill, Statement | Sent to the customer outlining charges. | TRUE | [Invoice Number] | Text | Alphanumeric | Draft | Low | Accounting | create
PAY019 | Payment Method | Way a customer chooses to pay. | Payment Type, Funding Source | Options like credit card, debit card, bank transfer, etc. | TRUE | [Payment Method Type] | Text | Text | Draft | Medium | Transaction | create
PAY020 | Gateway Fees | Charges assessed by the payment gateway. | Processing Fees, Transaction Fees | Costs associated with processing payments. | TRUE | 0.30 | Decimal | Numeric | Draft | Low | Financial | create
PAY021 | Interchange Fees | Fees paid to the card-issuing bank. | Card Association Fees | Bank's cost for each card transaction. | TRUE | 0.02 | Decimal | Numeric | Draft | Low | Financial | create
PAY022 | Payout | Funds transferred to the merchant. | Remittance, Disbursement | Money sent to the merchant's account. | TRUE | 100.00 | Decimal | Numeric | Draft | Medium | Financial | create
PAY023 | Currency Code | Standard three-letter code representing a currency. | ISO Currency Code | e.g., USD, EUR, GBP | TRUE | USD | Text | Alphanumeric | Draft | Low | International | create
PAY024 | Bank Account Number | Unique identifier for a bank account. | Account Number | Used for ACH transfers and other banking transactions. | TRUE | 1234567890 | Number | Numeric | Draft | High | Financial | create
PAY025 | Routing Number | Nine-digit code identifying a financial institution. | ABA Routing Number | Used for ACH transfers and wire transfers. | TRUE | 123456789 | Number | Numeric | Draft | High | Financial | create
PAY026 | ACH Transfer | Electronic transfer of funds between bank accounts. | Electronic Funds Transfer (EFT) | Common method for direct deposit and bill payments. | TRUE | [ACH Transaction ID] | Text | Alphanumeric | Draft | Medium | Financial | create
PAY027 | Wire Transfer | Electronic transfer of funds between banks. | Telegraphic Transfer | Typically used for international transactions. | TRUE | [Wire Transfer Reference Number] | Text | Alphanumeric | Draft | High | Financial | create
PAY028 | Fraud Detection | Identifying and preventing fraudulent transactions. | Fraud Prevention | Systems that flag suspicious activity. | FALSE | [Fraud Score] | Number | Numeric | Draft | High | Security | create
PAY029 | Risk Management | Assessing and mitigating payment-related risks. | Risk Mitigation | Strategies to protect against fraud and other losses. | FALSE | [Risk Score] | Number | Numeric | Draft | High | Security | create
PAY030 | Chargeback Ratio | Percentage of transactions resulting in chargebacks. | Dispute Rate | Indicator of potential fraud or service issues. | TRUE | 0.01 | Decimal | Numeric | Draft | Medium | Legal | create
PAY031 | Merchant Category Code (MCC) | Four-digit code classifying a merchant's business. | Business Code | Used by card networks to categorize merchants. | FALSE | 5942 | Number | Numeric | Draft | Low | Reporting | create
PAY032 | Terminal | Device used to process card payments in a physical store. | POS Terminal | Point-of-sale device. | TRUE | [Terminal ID] | Text | Alphanumeric | Draft | Medium | Infrastructure | create
PAY033 | Batch Settlement | Grouping of transactions for settlement. | Settlement Batch | Process of settling multiple transactions at once. | TRUE | [Batch Number] | Number | Numeric | Draft | Low | Financial | create
PAY034 | Payment Request | Initiation of a payment transaction. | Payment Initiation | Asking the customer to make a payment. | TRUE | [Payment Request ID] | Text | Alphanumeric | Draft | Medium | Transaction | create
PAY035 | Payment Confirmation | Notification that a payment has been successfully processed. | Payment Receipt | Confirms the transaction was completed. | TRUE | [Confirmation Number] | Text | Alphanumeric | Draft | Low | Audit | create
PAY036 | Partial Authorization | Authorization for a portion of the transaction amount. | Partial Approval | When the full amount cannot be authorized. | FALSE | [Authorized Amount] | Decimal | Numeric | Draft | Medium | Financial | create
PAY037 | Voice Authorization | Requesting authorization over the phone. | Phone Authorization | Used when electronic authorization is not possible. | FALSE | [Voice Authorization Code] | Number | Numeric | Draft | Medium | Transaction | create
PAY038 | Card Brand | Name of the payment card network. | Network | Visa, Mastercard, American Express, Discover | TRUE | Visa | Text | Text | Draft | Low | Transaction | create
PAY039 | Card Issuer | Bank that issued the payment card. | Issuing Bank | Bank associated with the card. | TRUE | [Issuing Bank Name] | Text | Text | Draft | Low | Transaction | create
PAY040 | Payment Network | Infrastructure for processing payments. | Card Network | Visa, Mastercard, etc. | FALSE | [Network Name] | Text | Text | Draft | Low | Infrastructure | create
PAY041 | Settlement Account | Bank account where funds are deposited after settlement. | Deposit Account | Where the merchant receives payments. | TRUE | 9876543210 | Number | Numeric | Draft | High | Financial | create
PAY042 | Reserve Account | Account held by the payment processor to cover potential losses. | Contingency Account | Funds held to cover chargebacks or other liabilities. | TRUE | [Reserve Amount] | Decimal | Numeric | Draft | High | Financial | create
PAY043 | Daily Limit | Maximum amount that can be processed in a day. | Transaction Limit | Restriction on daily processing volume. | TRUE | 10000.00 | Decimal | Numeric | Draft | Medium | Risk | create
PAY044 | Transaction Limit | Maximum amount allowed per transaction. | Single Transaction Limit | Restriction on individual transaction size. | TRUE | 5000.00 | Decimal | Numeric | Draft | Medium | Risk | create
PAY045 | Velocity Check | Fraud prevention measure analyzing transaction speed and frequency. | Speed Check | Flags suspicious activity based on transaction patterns. | FALSE | [Velocity Check Result] | Text | Text | Draft | High | Security | create
PAY046 | BIN Number | Bank Identification Number | Issuer Identification Number (IIN) | First 6-8 digits of a payment card number. | TRUE | 411111 | Number | Numeric | Draft | High | Security | create
PAY047 | Address Line 1 | Street address for billing or shipping. | Street Address | Primary address line. | TRUE | 123 Main Street | Text | Text | Draft | Medium | Address | create
PAY048 | Address Line 2 | Apartment, suite, or unit number. | Apt/Suite | Secondary address line. | FALSE | Apt 4B | Text | Text | Draft | Low | Address | create
PAY049 | City | City for billing or shipping. | Municipality | Location of the address. | TRUE | Anytown | Text | Text | Draft | Medium | Address | create
PAY050 | State | State or province for billing or shipping. | Region | Geographic region of the address. | TRUE | CA | Text | Text | Draft | Medium | Address | create
PAY051 | Zip Code | Postal code for billing or shipping. | Postal Code | Numeric code for address. | TRUE | 90210 | Number | Numeric | Draft | Medium | Address | create
PAY052 | Country | Country for billing or shipping. | Nation | Location of the address. | TRUE | USA | Text | Text | Draft | Medium | Address | create
PAY053 | Customer ID | Unique identifier for a customer. | User ID | Used to track customer activity and preferences. | TRUE | CUST123 | Text | Alphanumeric | Draft | Medium | Customer | create
PAY054 | Email Address | Customer's email address. | Electronic Mail | Used for communication and notifications. | TRUE | test@example.com | Text | Text | Draft | Medium | Customer | create
PAY055 | Phone Number | Customer's phone number. | Telephone Number | Used for communication and verification. | TRUE | 555-123-4567 | Text | Text | Draft | Medium | Customer | create
PAY056 | Device ID | Unique identifier for the device used to make a payment. | Mobile ID | Used for fraud detection and security. | FALSE | [Device Identifier] | Text | Alphanumeric | Draft | Medium | Security | create
PAY057 | IP Address | Internet Protocol address of the device used to make a payment. | Internet Address | Used for fraud detection and location tracking. | FALSE | 192.168.1.1 | Text | Text | Draft | Medium | Security | create
PAY058 | Geolocation | Geographic location of the device used to make a payment. | Location Data | Used for fraud detection and targeted advertising. | FALSE | [Latitude, Longitude] | Text | Text | Draft | Low | Marketing | create
PAY059 | User Agent | Information about the browser and operating system used to make a payment. | Browser Information | Used for fraud detection and website optimization. | FALSE | [User Agent String] | Text | Text | Draft | Low | Technology | create
PAY060 | Time Zone | Time zone of the customer. | TZ | Facilitates proper scheduling and logging of transactions. | FALSE | PST | Text | Text | Draft | Low | Reporting | create
PAY061 | Order ID | Unique identifier for an order. | Sales Order Number | Used to track orders and link them to payments. | TRUE | ORDER123 | Text | Alphanumeric | Draft | Medium | Sales | create
PAY062 | Shipping Address | Address where the order is shipped. | Delivery Address | Location for order delivery. | TRUE | [Shipping Address Details] | Text | Text | Draft | Medium | Shipping | create
PAY063 | Billing Address | Address associated with the payment card. | Payment Address | Address used for billing statements. | TRUE | [Billing Address Details] | Text | Text | Draft | Medium | Billing | create
PAY064 | Item Price | Price of a single item in an order. | Unit Price | Cost per item. | TRUE | 10.00 | Decimal | Numeric | Draft | Low | Sales | create
PAY065 | Quantity | Number of items in an order. | Amount | Number of units. | TRUE | 2 | Number | Numeric | Draft | Low | Sales | create
PAY066 | Total Amount | Total amount of the order. | Order Total | Sum of all item prices and shipping costs. | TRUE | 20.00 | Decimal | Numeric | Draft | Low | Sales | create
PAY067 | Shipping Cost | Cost of shipping the order. | Delivery Fees | Charges for shipping. | TRUE | 5.00 | Decimal | Numeric | Draft | Low | Shipping | create
PAY068 | Tax Amount | Amount of tax charged on the order. | Sales Tax | Tax levied on the sale. | TRUE | 1.50 | Decimal | Numeric | Draft | Low | Tax | create
