
| Reference ID | Name | Description | Alias Names | Business Logic | Critical Data Element | Examples | Format Type | Format Description | Lifecycle | Security Level | Classifications | Operation |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| PAY001 | Account Number | Unique identifier for a bank account | Account ID, Acct No. | Must be a valid account number according to the issuing bank's rules. | TRUE | 1234567890 | Text | Alphanumeric, varying length | Draft | Confidential | Banking, Payment | create |
| PAY002 | Routing Number | Bank identification code | ABA Number, Transit Number | Identifies the bank or financial institution. | TRUE | 021000021 | Number | 9-digit numerical code | Draft | Confidential | Banking, Payment | create |
| PAY003 | Transaction Amount | The monetary value of a transaction | Amount, Value | Must be a positive value. | TRUE | 100.00 | Decimal | Two decimal places | Draft | Confidential | Payment | create |
| PAY004 | Transaction Date | The date the transaction occurred | Date, Txn Date | Must be a valid date. | TRUE | 2023-10-27 | Date | YYYY-MM-DD | Draft | Public | Payment | create |
| PAY005 | Transaction Type | The type of transaction (e.g., debit, credit) | Type, Txn Type |  Indicates the nature of the transaction. | TRUE | Debit | Text |  Limited set of values (e.g., Debit, Credit, Transfer) | Draft | Public | Payment | create |
| PAY006 | Merchant ID | Unique identifier for a merchant | MID, Merchant Number |  Identifies the merchant involved in the transaction. | TRUE | 123456789 | Text | Alphanumeric, varying length | Draft | Confidential | Merchant, Payment | create |
| PAY007 | Card Number | Credit or debit card number | Card ID, PAN | Must adhere to Luhn algorithm validation. | TRUE | 4111111111111111 | Number | 13-19 digit numerical code | Draft | Confidential | Card, Payment | create |
| PAY008 | Expiration Date | The date the card expires | Expiry Date, Exp Date |  Must be a valid date in the future. | TRUE | 12/25 | Date | MM/YY | Draft | Confidential | Card, Payment | create |
| PAY009 | CVV | Card Verification Value | CVC, CID |  3 or 4 digit security code on the card. | TRUE | 123 | Number | 3-4 digit numerical code | Draft | Confidential | Card, Payment | create |
| PAY010 | Billing Address | The cardholder's billing address | Address, Bill Address |  Address associated with the card. | TRUE | 123 Main St | Text | Varies | Draft | Public | Card, Payment | create |
| PAY011 | Zip Code | The cardholder's billing zip code | Postal Code, Zip |  Numerical code identifying a geographic area. | TRUE | 90210 | Number | 5 or 9 digit numerical code | Draft | Public | Card, Payment | create |
| PAY012 | Payment Gateway | Service that authorizes credit card payments | Gateway, Payment Processor |  Software and hardware that processes payments. | FALSE |  ExampleGateway | Text | Varies | Draft | Public | Payment | create |
| PAY013 | Authorization Code | Code returned by the card issuer confirming authorization | Auth Code, Approval Code |  Alphanumeric code confirming authorization. | TRUE | ABC123 | Text | 6-digit alphanumeric code | Draft | Confidential | Payment | create |
| PAY014 | Settlement Date | The date funds are transferred to the merchant's account | Settle Date |  Date funds are transferred. | TRUE | 2023-10-28 | Date | YYYY-MM-DD | Draft | Public | Merchant, Payment | create |
| PAY015 | Batch Number | Unique identifier for a batch of transactions | Batch ID | Groups transactions for settlement. | FALSE | 1234 | Number |  Numerical code | Draft | Public | Merchant, Payment | create |
| PAY016 | Refund Amount | The monetary value of a refund | Refund, Amount |  Must be a positive value. | TRUE | 50.00 | Decimal | Two decimal places | Draft | Confidential | Payment | create |
| PAY017 | Refund Date | The date the refund was processed | Refund Date |  Must be a valid date. | TRUE | 2023-10-29 | Date | YYYY-MM-DD | Draft | Public | Payment | create |
| PAY018 | Currency Code | ISO currency code | Currency, ISO Code |  Three-letter code representing a currency. | TRUE | USD | Text | 3-letter code | Draft | Public | Payment | create |
| PAY019 | IP Address | Internet Protocol Address | IP |  Numerical label assigned to each device participating in a computer network. | FALSE | 192.168.1.1 | Text |  Varies | Draft | Public | Fraud, Payment | create |
| PAY020 | Device ID | Unique identifier for a device | Device, UDID |  Identifies the device used for the transaction. | FALSE |  iPhone123 | Text | Varies | Draft | Public | Fraud, Payment | create |
| PAY021 | Geolocation | Geographic location of the transaction | Location | Latitude and Longitude | FALSE | 34.0522,-118.2437 | Text | Varies | Draft | Public | Fraud, Payment | create |
| PAY022 | AVS Result | Address Verification System result | AVS |  Code indicating the level of match between the billing address provided and the address on file with the card issuer. | FALSE |  Y | Text | Single letter code (e.g., Y, N, X) | Draft | Public | Fraud, Payment | create |
| PAY023 | Cardholder Name | Name of the cardholder | Name |  Name as it appears on the card. | TRUE | John Doe | Text | Varies | Draft | Confidential | Card, Payment | create |
| PAY024 | Email Address | Cardholder's email address | Email | Used for receipts and communication | FALSE | john.doe@example.com | Text | Varies | Draft | Public | Card, Payment | create |
| PAY025 | Phone Number | Cardholder's phone number | Phone | Used for communication | FALSE | 555-123-4567 | Text | Varies | Draft | Public | Card, Payment | create |
| PAY026 | Order ID | Unique identifier for an order | Order Number |  Identifies the order associated with the payment. | FALSE | ORD123 | Text | Varies | Draft | Public | Order, Payment | create |
